permit_id,builder,zone,building_type,approval_date,cost
b945f008-e1c6-4fe3-b444-315b8480ea9f,Sankar-Bose,North,Residential,2024-10-21,49394.36
f963f270-7380-4699-be0e-46bf3a5c9c0a,Jain-Roy,North,Residential,2024-06-25,57192.19
838832d6-d549-4de3-83eb-50ce66b45fea,"Comar, Dewan and Hans",Central,Residential,2023-04-01,51011.6
46f7f126-acaa-4696-8ddf-6dbd3b3d6360,"Wadhwa, Mann and Sen",East,Commercial,2024-06-11,40073.24
5531fbfd-743d-47a6-b744-f151466f4d00,Nigam LLC,South,Commercial,2020-12-05,41065.51
67e602bf-34ca-4388-ab96-9ff537cf82d2,"Virk, Dada and Grover",North,Commercial,2023-07-03,44249.73
399bf662-292b-4da7-92ff-2f2850bc6894,Solanki LLC,South,Commercial,2021-05-19,47021.47
5e85088f-d414-4ecd-be54-2928441c9b9e,Sarna-Ganesan,South,Commercial,2019-12-31,55768.5
a6708b4c-a602-4dd3-a253-ad85cee326dc,Jaggi Ltd,East,Commercial,2023-10-01,60238.75
c355d215-1eab-41c6-803a-b5a70a3f402d,"Bhandari, Mammen and Banerjee",South,Residential,2020-07-09,44544.7
bd86cba0-7789-4472-9ba0-11585ef597f8,"Hora, Srinivas and Vasa",Central,Residential,2024-06-10,51219.77
84c812c4-0e61-4eb3-aef3-25d9701efd15,"Choudhary, Dugar and Vasa",East,Residential,2022-12-09,61615.32
62294193-556e-4e7f-bc4a-a23772d48898,Chhabra-Kalita,Central,Commercial,2023-08-16,53691.45
970992bc-9010-4aaa-8085-59ea249642ec,Reddy PLC,East,Residential,2022-07-14,61134.75
8dc94f77-f32c-49e6-8a5b-c863a721d225,Raval-Dhillon,Central,Residential,2022-03-04,40173.79
5422896d-6319-4fb3-92f5-3e86ce6cf18f,Memon-Wali,Central,Residential,2019-12-16,33310.16
171a98fe-f19c-4155-b398-331f7279fda0,Patla PLC,East,Residential,2023-09-17,39114.82
23800c88-a15c-47e6-8408-9025f7ca4091,"Memon, Munshi and Jaggi",North,Industrial,2020-11-16,47845.24
f50f883b-457c-49a1-8033-cce9bb14c85d,"Golla, Dhingra and Biswas",South,Residential,2023-03-25,57975.05
6610d5bc-0cd4-4d87-8be2-123cbb70a740,"Ramakrishnan, Natarajan and Thaker",South,Residential,2019-10-28,41392.29
51c24152-0c77-4150-bf21-4ac093e8fd5b,Kant-Bhatt,Central,Commercial,2019-07-07,57561.14
28e3c9c6-8f78-4c08-bf2f-84886c00b6a8,Mane-Bahri,North,Commercial,2024-07-22,60622.88
3ed423e7-ec06-4299-95f4-5a4c2d54019a,"Sankar, Barad and Jha",Central,Residential,2023-11-01,55587.9
cd857c07-f103-46d4-8613-c8a2263c8d30,Dugal-Vyas,East,Commercial,2020-11-02,45356.04
0b9b1384-6fff-4c5b-a0d8-d2bce00433dd,"Sagar, Chaudry and Bir",West,Residential,2021-11-10,33110.71
7a990827-ec10-4ab8-9184-c740c3e69fd1,Som-Goswami,West,Commercial,2022-03-02,49901.13
730ee9ab-bb5c-4f07-a900-3df66041a707,"Rajagopalan, Kunda and Apte",West,Industrial,2024-12-18,37599.52
669e544e-840d-42af-9f11-be66f5441bed,"Dara, Dugar and Ranganathan",West,Residential,2022-07-26,70402.13
64a0ac0c-5d48-41e4-b089-1502d559e731,Divan-Chopra,West,Commercial,2022-11-02,51116.24
a6d281c6-1941-4eaf-af67-54e332c514e9,Mand Inc,South,Commercial,2022-07-03,67389.04
70d78b40-9136-410c-bbff-2d1c5136e6f7,Kashyap Ltd,North,Residential,2023-04-10,63234.7
e93fbda3-d2f8-4cfe-998c-b285338bf274,Sethi PLC,Central,Commercial,2020-10-18,37504.0
b89df4f6-dba7-49f7-9088-8db961296893,Kala-Roy,North,Residential,2020-12-12,67801.95
2f4874a2-6aa7-4f2c-9a2a-3beb6c9c5d56,Sastry-Ramesh,East,Commercial,2019-02-13,70027.33
621419a1-7324-4d9a-aba3-8c4ac0b02fb3,"Chakraborty, Ramanathan and Kumar",West,Residential,2019-01-20,39615.09
9072aec7-71ac-4bc4-bfb6-1fc587a5832d,Desai Group,West,Residential,2023-02-06,53340.14
0364aaa8-d729-4ba5-90a6-3b062ff04fcb,Chacko-Vyas,Central,Residential,2023-08-31,55795.32
f2e68527-23c8-491e-b2fa-cddac310a7bd,Chowdhury PLC,South,Commercial,2021-05-18,62335.36
6e47574e-298e-4b5d-83a3-d18bc1f6c74f,"Dewan, Panchal and Krishnan",Central,Residential,2020-04-27,39578.9
52bfe10b-1c74-412b-9e31-b480657756a4,"Kakar, Karpe and Atwal",East,Residential,2023-07-17,71189.27
b1aef3e1-22b6-4f20-a56c-33972e508bb2,Vora-Basak,South,Commercial,2020-02-10,40923.08
7da63843-fcc8-4fa2-ad9c-8dfa94a8f60f,Patla-Puri,North,Commercial,2024-08-20,61489.88
21065370-d493-47f2-a85b-9ae112c5915d,Divan-Ghose,East,Industrial,2024-01-24,29779.31
016f669a-7a3e-4fc7-b421-655b045aafe8,Acharya Inc,East,Residential,2023-09-22,51159.93
989064d9-411b-494b-8888-c9c4547a3241,Lanka Group,North,Residential,2019-10-01,59143.54
9992631d-948c-43ce-8ccb-53d7f6d50dfe,Chander and Sons,West,Residential,2020-10-30,67564.66
93664a72-1963-4bfa-b824-28ad30be9476,"Pillay, Majumdar and Lanka",West,Commercial,2023-03-08,54976.82
3f0f0b77-ccb8-4fba-99e5-cc94dcc65f81,"Prabhakar, Prabhakar and Sarna",North,Industrial,2019-07-05,48981.28
eabd5144-d78a-49b6-ba7b-6f3104a3d751,Kapadia-Manda,East,Residential,2022-05-30,33554.22
2be51f53-c835-41d7-b9c5-8711719f7c7e,Sathe Inc,North,Residential,2023-11-15,51163.87
3e742545-8750-4688-af4e-9d9e804da8b9,Bora-Mangat,West,Residential,2022-11-23,50741.92
821b4244-067e-4790-be9d-590067d298de,Zachariah-Deep,West,Residential,2021-07-10,57259.16
7e460c75-b538-4279-bb97-031a2e6f7958,Goswami-Munshi,Central,Residential,2024-07-05,58665.57
fe107765-aa50-4d4e-ac49-35327d7a6363,Pillai Group,West,Residential,2021-05-26,31555.63
bbcd1e23-5dbb-44b9-a5ca-cfd6e106ecd5,"Chakrabarti, Gaba and Rajagopalan",Central,Residential,2022-12-05,41250.55
524db7a0-dd1c-45c9-a76a-1f79d0eba752,"Lad, Rana and Jain",West,Residential,2024-11-08,61107.23
46b637b2-ccdf-4e9d-9375-3dbf26ef8282,Varughese-Chowdhury,West,Commercial,2021-10-09,53483.52
3e59fcdd-bb9a-46db-8713-46ff11405a5b,Karpe Ltd,West,Commercial,2020-09-10,28444.14
48c14924-3b0e-4a04-8a6b-3731ba76d606,Rau-Ahluwalia,West,Industrial,2024-11-13,51529.28
53e9a22d-1570-4b5b-b51e-079bcc146899,Bakshi-Upadhyay,East,Residential,2021-07-30,60872.13
5154452f-a137-4ea1-9d24-b12e819d4cc1,Sunder-Dugar,Central,Residential,2023-03-14,45746.66
ca507d3b-2239-4127-8b3e-c2a6a694f7b6,Peri-Mishra,North,Commercial,2024-05-29,40835.11
85646db1-c053-432e-a342-425ccb6a8f1d,"Datta, Anne and Madan",West,Industrial,2020-05-05,31213.03
0978e90f-2738-448e-9cd0-8fc45f7c9048,Bajaj-Bajaj,East,Residential,2024-12-29,49764.66
6b6ce4cb-338e-4bac-8e2d-38465f0a333d,"Dani, Kohli and Vaidya",West,Residential,2024-09-02,69571.89
318b8c85-c5b5-4ed6-bfcc-5645dee836f0,Mand and Sons,East,Residential,2022-07-31,49250.83
83c482dc-e90c-48aa-8097-53a3cbcefa6e,"Kant, Rama and Biswas",North,Residential,2024-03-26,32881.87
9f92ca71-2979-44b2-8de8-bfe73d2bd832,Ramakrishnan Inc,North,Residential,2020-09-10,55791.59
91dc9156-20ad-4d7b-b75b-718f2c42c56d,Sarraf Ltd,East,Commercial,2023-05-18,71045.16
0e801445-249b-4ac4-b950-9e600c964161,Varkey-Mody,Central,Residential,2023-11-04,42217.86
bfab3e95-e8b5-455d-83e2-30b57b8becff,"Oak, Parikh and Bahri",West,Industrial,2021-02-11,30589.64
fcd27f1f-dda3-43f1-a7f6-00316a373cdb,Johal Group,Central,Commercial,2019-05-21,58046.96
5ea2053e-106d-4fcd-983c-09d1a6e5091b,Dyal and Sons,South,Industrial,2020-04-14,39736.03
ea195e86-831e-416b-8667-2c7165d75ed9,"Bawa, D’Alia and Minhas",South,Residential,2020-10-18,50485.99
b404b943-a666-4633-975f-0b2b735b2ae2,"Pillai, Sarin and Trivedi",East,Residential,2021-04-29,42629.84
30799334-0d22-45cf-8c20-f81792daec8b,Apte PLC,West,Commercial,2024-07-31,39739.69
58780114-f68c-4c14-a19f-2b1f4a2cccc7,"Samra, Nath and Nadig",East,Commercial,2020-02-04,53752.23
49b4187d-3936-483d-8560-8d5f6c2cd12f,Chana-Solanki,West,Residential,2023-07-06,54772.39
8d5fe1e1-bf3b-40fa-b2e7-7e040a9e6dd0,"Seth, Parmar and Dhaliwal",South,Residential,2020-12-22,45836.77
edca2a91-f902-4370-bc4c-82eee229ceaf,Raja-Palan,West,Commercial,2019-04-13,42822.92
813ef672-1520-4792-94c2-962c18688fab,"Doctor, Kothari and Sama",Central,Residential,2020-09-27,35397.98
272c2b55-3d88-4b08-8457-363da1c3471a,Nayak Ltd,Central,Residential,2023-07-15,62672.27
691db0c2-558d-4438-a2da-edc2c2f9d21c,Rajagopal-Sathe,West,Residential,2021-04-04,44117.73
afd19acd-26a5-4e62-a229-c08168175412,Trivedi-Ramakrishnan,West,Industrial,2024-01-13,49505.55
a29f0db5-a8f1-480d-b9db-1d53efea5e14,Sha Ltd,Central,Residential,2021-01-14,53558.02
7b0f0610-3381-47d1-b88d-c36259e6e720,"Johal, Apte and Sachar",Central,Residential,2021-12-20,40379.16
305e019d-c77d-44cc-85a8-300e8fdc769f,Ramaswamy PLC,North,Commercial,2022-11-16,39885.01
62fdec97-3e63-4ea7-a28b-b8152117b0d1,"Mani, Vora and Buch",North,Commercial,2019-04-24,46247.47
a7da3d9d-5496-4596-9979-5a9999237e1f,Rama-Mistry,Central,Commercial,2023-01-20,51387.83
43ac54f4-2963-4561-8873-4b1869c72d0b,Ram-Halder,Central,Residential,2022-06-11,54806.04
e3892b8b-1a22-4324-be53-062b26ef999a,"Oza, Nayak and Bawa",North,Commercial,2023-02-18,59410.51
35b7fb08-9291-4139-ba5b-befdbf159552,"Thakur, Sridhar and Parekh",Central,Residential,2021-08-25,70088.34
5d855a31-2603-4f91-a8ee-469dfe77936b,"Kadakia, Master and Goswami",West,Residential,2021-10-07,46087.61
04aba57f-1b38-407d-abda-0b665e042644,"Boase, Balay and Issac",Central,Residential,2019-11-05,41932.5
ac80c2e4-24a3-474e-8cbb-1bcbb097ead5,Devan LLC,Central,Commercial,2022-10-15,45288.84
d65ee3df-59d3-4681-9c73-22e5cd1579f0,Sehgal PLC,Central,Residential,2024-11-15,42327.59
4195cd01-9102-4075-bf7d-3e795f61b975,Yogi-Badami,South,Residential,2023-08-25,54548.81
7ee3489b-25ff-495a-9c84-926c8bec8207,Dutt Inc,North,Commercial,2019-04-27,38051.0
7aefdc15-c9ec-432c-ad66-9f9af2f205ef,Loke Ltd,Central,Commercial,2019-05-29,46752.91
440768b2-da6f-412f-ae3b-bbd2bea5d617,Savant-Kannan,East,Residential,2019-04-25,47011.81
cdb5ce15-74b2-4a23-a125-3de794c78364,Randhawa Ltd,West,Commercial,2022-06-11,47969.8
3429c70a-ee14-4815-a0ed-fb9142ccb8d2,"Chopra, Dani and Boase",East,Residential,2021-05-07,51232.88
4c98d26e-86b3-4fe8-89d3-dcf1719e52f3,"Jayaraman, Batta and Khare",South,Commercial,2019-07-22,42583.17
86793d3a-8cc0-46a6-94bf-e6a69ace873e,Sandal-Kala,Central,Residential,2020-12-04,44036.08
c72a62f8-b5b7-4869-88e3-920d1b228b42,Dugar-Lad,Central,Residential,2022-12-21,36442.65
33d593a2-e2ab-40dc-a2e7-4c289633c70a,Kala-Kaur,East,Commercial,2021-08-28,38120.54
cc6edca3-e189-4da4-83f5-e3c36238428b,"Dayal, Loke and Hegde",South,Residential,2024-12-29,60784.87
9e936017-f2d1-4e78-86dd-188fe2a855f9,"Tak, Jani and Gole",North,Residential,2024-07-07,56311.02
01edfefd-aba5-4e00-807d-e772f797f2c4,"Mukherjee, Mital and Ranganathan",South,Industrial,2023-01-07,48718.62
c90772bc-ed42-4610-90ce-1cd58b987cf2,Radhakrishnan-Chandran,West,Residential,2020-01-15,39369.13
74aa3d3f-9c95-4e0b-b5e2-2e8ea24389a4,"Dass, Pau and Tak",North,Residential,2021-08-15,63433.67
7ba65249-24f2-4891-aaae-2f5591582f04,"Mittal, Kapur and Malhotra",South,Residential,2022-07-13,49509.5
0ed27961-3d58-4d15-9214-cf28da0336b7,Patla-Lal,North,Residential,2019-03-15,46120.52
37b5136d-e99c-4193-bf95-accd166ce87c,"Agarwal, Vohra and Sankaran",North,Commercial,2024-11-25,65063.3
3a9ca365-5f07-40c3-833b-5ed7586625da,Balakrishnan-Kala,Central,Residential,2022-03-21,50122.96
9c7a8390-9a55-4087-a0df-e32c93fc0f09,Apte LLC,South,Residential,2020-03-24,38959.39
36920909-e2d1-4679-b3de-f6448349c743,"Barad, Bhatt and Golla",North,Commercial,2019-07-27,37969.86
651df9f5-682c-4d6d-8bd2-133983ef84d4,"Yogi, D’Alia and Nazareth",South,Residential,2021-12-13,43151.61
75cf103e-f670-4fe2-8fe7-89eed0567a60,Kapur PLC,East,Residential,2019-11-14,46296.51
b19a26c4-7870-4009-b0a0-900b6acae707,Swaminathan LLC,North,Residential,2019-06-08,48017.91
043dbe53-d03e-49ea-b894-c5fa5584a7a5,"Loke, Vaidya and Nanda",North,Commercial,2020-06-03,49771.65
1c5e3c03-5e09-45da-b09e-c3a02a67dbab,"Gulati, Sibal and Mane",West,Residential,2019-12-21,52669.76
fe97ba9b-68c4-4627-ae4b-45a1fdc14c73,Sabharwal LLC,West,Residential,2023-07-25,50747.99
613bdbf1-e589-4507-957e-1099b3787c6a,Sandhu-Ramesh,Central,Commercial,2022-07-26,35784.21
e17c7905-0f16-4311-8db0-f9c0ea86b96a,Soman Ltd,East,Residential,2022-01-27,51211.87
f52edade-9b5b-4698-a97a-d9272a141477,Madan Group,Central,Commercial,2024-03-04,60342.38
c3a91477-06af-4b59-afc5-be10f0844c95,Deo-Naidu,North,Industrial,2019-02-11,68825.74
eb823878-388b-4ab6-b959-35d40e50b9de,"Bakshi, Kothari and Parmer",East,Residential,2022-09-19,60230.24
e76b23ff-c15c-4871-a853-dd70e12bf61f,"Apte, Lal and Bains",Central,Commercial,2020-10-15,49840.57
6d48f5a5-a61c-42e4-86c6-0331d6b572c5,Bhat-Buch,West,Residential,2024-04-08,52602.28
2e23690f-8e19-40ad-9e58-be6a170855d0,"Bhasin, Gera and Savant",South,Residential,2020-07-16,65357.36
42541d8e-c4ab-4bc1-8725-36f50d28e655,Sachdeva LLC,East,Residential,2019-07-18,61187.46
47c68bf7-49c2-4a68-979a-1d99d59397df,"Kalita, Das and Mann",Central,Residential,2019-03-17,48376.79
6aa3fad6-8c46-4f06-ba13-b586bc1ab8d1,"Bala, Goda and Master",North,Residential,2020-11-29,48439.87
cafa2942-3ce3-40e6-bffc-09e3498c7ac2,"Sura, Patil and Sengupta",South,Commercial,2020-04-22,53580.62
fe1d507b-6442-41d8-923b-4f9ed8762593,Shan-Sethi,East,Residential,2022-12-03,46104.84
e4e97f25-0dbe-4ebc-8e13-f20b5e47a93f,Padmanabhan Ltd,Central,Commercial,2023-03-08,59440.29
d8c08eac-ae7c-42df-a97c-2d7725f369aa,"Shetty, Pillay and Kapoor",South,Commercial,2020-10-20,83086.75
30510722-4d25-4dd2-ab15-8c9a489f8b92,Atwal-Narasimhan,West,Commercial,2022-01-10,60606.02
02f8d362-59dc-4dee-99a0-790d17541181,"Bumb, Kari and Mann",South,Industrial,2024-09-01,57060.47
be8561c2-ffdf-4860-9d90-e2bc68acc866,Sarkar-Gopal,South,Commercial,2023-08-28,55131.43
0aaeca44-212c-4d1a-9732-8f1fac8ac00a,Kuruvilla Group,East,Commercial,2024-06-17,53963.97
7f4d28aa-854b-41d4-9a9f-6c584fdc1c89,Dora Inc,West,Commercial,2023-10-24,46581.94
f2d31633-a5b2-48ab-8a5c-5380ba138eca,Bora-Kanda,Central,Commercial,2024-11-05,68682.44
2dd3617d-28c0-4435-b76b-e7d5e9fc24bf,Mane-Bhasin,East,Residential,2021-01-14,61576.74
7f12d6e1-43a7-480c-8eb3-9d37c07fee1d,"Ratti, Sura and Pai",North,Residential,2021-07-03,54179.95
72c0953d-de17-4921-b089-575501e67fb1,Mukherjee-Sen,South,Industrial,2021-05-29,66547.41
ba918cb1-7a98-47e3-916b-92b8d3961698,"Sabharwal, Bala and Sekhon",South,Commercial,2022-07-05,49537.69
2630e9f7-2510-4826-bf8b-bdc63c43815d,"Srivastava, Lad and Palla",South,Residential,2023-04-27,43976.11
2e755a8a-02a9-4d5b-b4ee-fd63a8276328,Konda-Randhawa,West,Residential,2023-05-12,36822.57
4efe3da9-f90d-4c52-88ea-f01b98b75070,Kunda Group,West,Industrial,2022-04-29,45729.46
8fde1621-5da2-4262-ad7e-7dbc8ccb4fe9,Bassi and Sons,South,Residential,2019-04-22,50321.61
c3756a29-a12f-4d95-a146-b74a72bb6da3,Kamdar and Sons,East,Commercial,2021-05-01,50659.02
364d9bc5-2ede-4774-8579-44fa53d4704d,Pall LLC,Central,Commercial,2019-07-14,37836.29
6def8562-c1d1-4e88-b9d1-494fd8250b98,Mangal Group,East,Industrial,2021-01-22,56278.42
689f527e-229d-4470-898a-24ae98a91f84,Rajagopal Inc,Central,Industrial,2020-01-17,46405.84
9bb4151d-13ff-40bc-876b-c6caebd3f9e7,Srinivas-Ram,West,Residential,2024-02-17,34131.55
256ed663-589b-473a-9894-50cd610e3ae2,"Dhillon, Raj and Deep",South,Residential,2021-06-12,63892.28
b2bb2270-49e0-44ee-a4bb-38842d4586c7,"Narang, Merchant and Taneja",Central,Residential,2019-03-04,58840.14
25dbfc32-9e62-4339-8f14-9f93a367511d,"Balakrishnan, Grewal and Sodhi",Central,Residential,2019-07-04,39563.92
b661091d-aa96-4723-b922-7a9e0af71441,Karpe-Boase,East,Residential,2024-07-29,36422.48
6121ad38-d5b3-4137-8418-c64d6b80d8ef,Sankaran-Ganesan,West,Residential,2019-01-20,41716.37
e2905d04-e432-4c97-b5ed-45e8e802aba7,More and Sons,West,Residential,2023-11-08,38582.71
24ff60aa-02a3-4a03-8c4b-6387d0b0b16d,Chaudhuri Inc,East,Commercial,2024-06-22,58535.21
849cd2e5-ac1e-4651-b04f-85e962d6960b,Mani and Sons,North,Residential,2020-03-12,49371.78
fa8f4adf-26e6-468a-9906-7473ef202987,Lata Inc,North,Residential,2020-07-27,59040.99
e4920c9a-0d9d-45dc-85a1-0f4ff64c5e0a,Chaudry and Sons,West,Industrial,2021-01-28,53018.66
74232422-ff4f-4585-8ec9-6298d21464c9,Sami-Krish,North,Commercial,2021-05-26,52855.52
179e5506-7a43-4e64-84ba-f39b0b29781f,Chokshi LLC,West,Residential,2023-07-16,47977.48
20498079-f2d7-4778-a4a3-09bccea1a68a,Tripathi and Sons,Central,Residential,2019-07-01,43418.81
237a643a-71a1-4ea5-91a4-7723961cb240,"Murthy, Vora and Chanda",South,Residential,2020-06-19,53351.21
8abd5d3d-8f35-45ee-b76b-cd2cd133d83d,Char Ltd,South,Industrial,2021-06-28,38094.51
f8d13e1d-da85-4f93-adfb-1f1bf88cb9ac,Tara Group,East,Residential,2020-05-13,41666.64
d3644ef1-cb9a-4fdc-9f76-9cf37cf78945,Garde-Hora,South,Residential,2022-10-25,59344.0
3d4f4a2d-b858-4635-ac0c-37c5bc8859da,"Chaudhary, Chowdhury and Purohit",East,Residential,2022-02-13,54101.2
d993635f-7f7d-4802-b59e-e0c2a23e7535,Roy-Vohra,North,Residential,2019-04-19,54236.07
cf22b362-8beb-456a-9190-5c0060a1a030,Mohanty PLC,Central,Industrial,2024-05-05,34358.98
0f1a28e7-e544-41c5-bf0e-ec8217f8a96d,"Salvi, Parekh and Chand",South,Residential,2021-10-10,23972.74
796f042a-8788-493e-adae-44b6d16cbcf8,Hans-Raval,East,Residential,2021-08-22,61420.95
fa3f44b9-53ab-4604-806b-74423942a591,Loyal-Ganguly,North,Residential,2024-02-19,54668.59
6ed617ed-d792-4039-83a7-ee77616a968e,Palla-Prakash,Central,Industrial,2021-08-20,44795.61
3752918b-2391-4515-a01b-f01cab8cf10e,Dhawan-Patel,East,Industrial,2021-09-23,68015.83
e52b4ed1-1473-4304-a2e9-03fad4a91fb6,Sehgal PLC,Central,Commercial,2023-09-25,58511.89
62f26b2e-b782-4408-978a-2aaaaa4ee9ee,"Bansal, Ranganathan and Kakar",East,Residential,2019-12-07,69224.04
7ca57642-d597-4567-b6a1-a63466ddc305,Zachariah and Sons,East,Residential,2020-08-25,56931.54
ced3e8f6-413e-41a2-8d69-06d4ce6a3111,Maharaj LLC,Central,Residential,2019-04-28,49610.74
c56adcef-b456-42de-95da-17177472948e,"Balan, Kale and Kant",South,Residential,2019-07-02,49019.79
89b3d16f-3bf7-4e76-905b-b764e4974baf,"Garg, Venkatesh and Nazareth",West,Industrial,2022-12-01,54851.71
8b73151f-b170-4665-8273-47710418e7c2,De-Lal,Central,Residential,2022-03-24,62723.83
fbd27556-7a4a-4070-8535-536f4eaf5f45,"Chacko, Mishra and Bora",East,Commercial,2022-07-06,61391.16
6dfcaebe-db55-4701-8ecc-a1cecd7f3d19,Ratta-Dugar,South,Residential,2022-04-06,59742.05
f43dafb1-b21e-4bd6-89c3-903155898936,Nagi-Oommen,East,Residential,2021-10-05,37662.77
6688eeaf-d8ec-4ace-b53b-1900d64ae0bc,Chawla Group,North,Commercial,2020-10-05,61077.83
ba100f6a-8661-400b-8718-fc4ac24cdd57,"Mahajan, Munshi and Mutti",North,Residential,2024-12-14,55335.15
182a7c53-f46a-4a2b-a835-c8e156e5033c,Edwin-Chand,South,Residential,2021-06-01,55693.47
f26381ee-52c7-4d03-a60e-303746e09c24,Tata PLC,South,Commercial,2023-07-21,63085.48
98552f9e-dc39-4ee7-b91d-fbdaa0b4bc0c,Sharaf Ltd,North,Residential,2020-03-03,50974.54
c1b5e6ab-42bf-4daf-b958-7df50724815e,Arya Group,East,Residential,2021-07-01,36901.28
4fcfcf0a-3cb4-4ae4-ba3c-c2c8f587052e,"Kulkarni, Goyal and Kade",East,Commercial,2022-04-16,41735.53
e780e0a5-cbcb-4542-976f-65a6ab75d5c8,Saran-Chowdhury,West,Residential,2024-05-26,41160.7
3080cd6c-6e02-444b-a59d-00e3c31e492a,Mukherjee and Sons,North,Industrial,2020-12-27,53443.53
c65102b2-d3d0-4d9d-9ddc-7ef4c495ea15,"Sandhu, Puri and Sharma",West,Industrial,2021-12-01,49943.86
81abbb32-b955-4a52-b873-a8bacfa1a82c,Singh Inc,Central,Residential,2023-04-13,29986.85
e36a2c33-356b-47f5-926a-077e8307cf16,Chaudhry Ltd,North,Residential,2023-11-30,44777.88
df8772bf-40f7-41c6-a85f-9c10663f8fe9,"Baral, Wadhwa and Hari",South,Residential,2019-02-16,55174.53
889adf2b-8879-48e7-a89b-0a220fd5c2b2,Dhar LLC,South,Residential,2022-04-09,64496.86
badb8133-d42b-4457-9a0d-6131f1266fda,"Ramaswamy, Pillay and Toor",Central,Commercial,2022-06-05,42643.06
1ad09ad0-9946-4be6-88a5-4757b13178be,"Raghavan, Kade and Handa",West,Commercial,2023-05-22,42094.4
dc7373b7-2e20-4f79-b703-65836381dba3,Puri-Rege,Central,Residential,2020-11-14,44451.32
9efd331e-8c16-4869-af34-fe33d5adba78,"Yadav, Agrawal and Saini",Central,Residential,2022-08-29,52400.99
9ced65a3-e8ca-4638-aedb-ded8585a9413,Saran-Shetty,West,Industrial,2020-02-20,59542.92
6de84c0c-6c8a-4a47-a638-544cfe118998,Banerjee LLC,Central,Residential,2020-03-05,46273.46
b6596532-39de-40b6-afe3-2c9d40b23403,"Narula, Thakkar and Divan",East,Residential,2024-07-17,51518.83
9adfee05-36d8-4b26-a45f-54c9a3eb865c,Lal and Sons,Central,Residential,2023-01-08,46815.0
ac1f76e3-c76c-47e4-aa53-4e3711838bc1,Chakrabarti-Kar,North,Residential,2022-04-13,45243.3
1e0be7db-a633-47c1-8525-5fe17ce10fde,Mani-Peri,Central,Residential,2021-03-03,44964.66
84cd3481-9761-4854-9655-ca65e89907c4,Sekhon-Pal,Central,Commercial,2020-09-08,44332.44
6994cc52-2bb8-4c8c-9bcd-07a03b33c24a,"Pandya, Dave and Patil",South,Residential,2020-12-16,55819.47
f8415f8c-9e4c-4e7a-bc33-55889f80446d,Peri-Borra,Central,Commercial,2023-01-25,43084.43
81e57e67-8fab-4d8c-8c5b-9902840b7c5b,Mane Ltd,North,Residential,2022-06-09,33739.2
